head_news,golden_true,prediction
"With S&P 500 earnings expected to grow 8.4% in 2022, the backdrop for stocks appears to be a solid one. However, skittish investors have punished companies such as Netflix <NFLX.O>, JPMorgan <JPM.N> and Tesla <TSLA.O> delivering less than stellar news in recent weeks, adding to the uneasy mood. Another large batch of reports is due next week, including from heavyweights Alphabet <GOOGL.O> and Amazon <AMZN.O>. ",negative,negative
"Short interest in cannabis stocks continues to tumble, with the shorting of Tilray Brands Inc <TLRY.O> and Canopy Growth Corp. <CGC.O> making up more than half of the short selling, says the latest research from S3 Partners.",negative,positive
"SMIC dropped 4%, chip equipment maker NAURA Technology Group Co <002371.SZ> sank 10% by the daily limit, and Hua Hong Semiconductor plunged 9.5%.",negative,negative
"Meanwhile, shares in Credit Suisse hit a two-week low after it outlined an overhaul that plans to raise 4 billion Swiss francs ($4.06 billion) and separate out its investment bank <CSGN.S>. ($1 = 0.9859 Swiss francs)",negative,negative
"Local Energy stocks <.AXEJ> skid 1.4% on lower oil prices, with oil and gas major Woodside Energy <WDS.AX> and Santos <STO.AX> dropping about 1% and 1.6%, respectively. [O/R]",negative,negative
"United Airlines' <UAL.O> wage and fuel expense as a percentage of revenue is up by 10 points this year versus 2019. In the first six months of 2022, the company spent 59% of its revenue on wage and fuel bills. American Airlines <AAL.O> has had similar increases.",negative,negative
"Of course, crypto is hardly alone in flying through heavy 2022 turbulence. The stock markets officially dipped into bear territory earlier in June �C the S&P 500 <.SPX> is down more than 19% year-to-date as of Wednesday, and the Nasdaq <.IXIC> is down more than 28% over that time frame. ",negative,negative
"The rules, some of which take immediate effect, build on restrictions sent in letters this year to top toolmakers KLA Corp <KLAC.O>, Lam Research Corp <LRCX.O> and Applied Materials Inc <AMAT.O>, effectively requiring them to halt shipments of equipment to wholly Chinese-owned factories producing advanced logic chips.  (Reporting by Arunima Kumar and Yuvraj Malik in Bengaluru; Editing by Krishna Chandra Eluri)  ((Arunima.Kumar@thomsonreuters.com; Twitter:   ;))",negative,negative
"On Monday, the NSE Nifty 50 index <.NSEI> fell 1.8% to 17,016.30, while the S&P BSE Sensex <.BSESN> dropped 1.6% to 57,145.22.",negative,negative
"By midday, the Dow Jones Industrial Average <.DJI> was down 685.76 points, or 2.24%, at 29,982.77, and the S&P 500 <.SPX> was down 114.83 points, or 3.03%, at 3,675.16, with both indexes hitting their lowest levels since January 2021.",negative,negative
"    Drugmaker Eli Lilly and Co <LLY.N> issued an apology after an imposter account tweeted that insulin would be free, amid political backlash and scrutiny into the high prices of the medicine.",negative,negative
"The bank lowered its demand growth forecasts for this year and next. It forecasts Brent crude prices at $110 a barrel in the third quarter and WTI at $107.50, each $20 lower than their previous forecast. ",negative,negative
"United Airlines posted a lower-than-expected quarterly profit, while American Airlines said cost pressure would remain elevated in the current quarter. [nL4N2Z131H] [nL4N2Z22JH]         (Reporting by Shreyashi Sanyal and Aniruddha Ghosh in Bengaluru; Additional reporting by Medha Singh Editing by Arun Koyyur)  ((Shreyashi.Sanyal@thomsonreuters.com; +1 646 223 8780; +91 961 144 3740; Twitter: ",negative,negative
Oil majors such as BP <BP.L> and Shell <SHEL.L> fell about 1% as crude prices continued to retreat as investors weighed the impact of interest rate hikes. [O/R],negative,negative
"The company's studio segment reported revenues of $3.1 billion, down 5% from a year earlier. The company had fewer movie releases than a year ago. Its networks segment, which includes TBS, Discovery Channel and Food Network, reported revenue of $5.2 billion, down 8% compared with a year ago. ",negative,negative
"A class action lawsuit was filed on Thursday against Twitter by its employees, who argued the company was conducting mass layoffs without providing the required 60-day advance notice, in violation of federal and California law.",negative,negative
** Medical diagnostics firm Dr. Lal PathLabs Ltd <DLPA.NS> on Tuesday reported a 24.5% drop in September quarter profit as a sustained decline in revenue and volume from its COVID-19 related business and higher expenses weighed.,negative,negative
"CIFI��s plight is particularly alarming. It managed to avoid defaults on any of its publicly-traded debt, and even paid an interest payment for an offshore bond <KY196979280=RRPS> due in 2024. That bond, though, rallied to 60 cents on the dollar last month, but now trades at just 28 cents. CIFI��s chairman has also flagged that the company was not able to tap its $4.1 billion of cash on its balance sheet due to government controls on its escrow accounts. The stronger parts of the property market are weakening, and fast. (By Yawen Chen)",negative,negative
"However, thanks to vaccine rollouts and the spread of the less severe Omicron strain of COVID-19, life is returning to normal in many countries, leaving companies like Netflix and Peloton struggling to sustain high sales figures.",negative,negative
"According to Refinitiv data, the combined net profits of top global banks including Morgan Stanley <MS.N>, JPMorgan Chase & Co <JPM.N> and Citigroup Inc <C.N> are expected to fall 2% in the March quarter, compared with the cumulative profits in the December quarter.",negative,negative
"Russian-exposed stocks tried to rebound but overall the picture was mixed, showing investors still lacked conviction, while poorly-received earning updates from the likes of Flutter <FLTRF.L>, Hellofresh <HFGG.DE> and Zalando <ZALG.DE> added some gloom.",negative,negative
"At 08:39 a.m. ET, Dow e-minis <1YMcv1> were down 24 points, or 0.07%, S&P 500 e-minis <EScv1> were down 8.75 points, or 0.2%, and Nasdaq 100 e-minis <NQcv1> were down 39 points, or 0.28%.",negative,negative
"The Dow Jones Industrial Average <.DJI> fell 0.46% to 32,001.25, the S&P 500 <.SPX> lost 1.06% to 3,719.89 and the Nasdaq Composite <.IXIC> dropped 1.73% to 10,342.94.",negative,negative
"It also coincided with the global PC industry coming off the pandemic-fuelled sales boom and the war in Ukraine, prompting several companies from chipmakers to electronics manufacturers such as Intel <INTC.O> and Samsung <005930.KS> to warn of a sharp slowdown in demand. [nL4N2Z947R][nL1N2Z83N6]",negative,negative
The upbeat showing comes when technology stocks have come under pressure following downbeat earnings reports from Microsoft Corp <MSFT.O> and Google parent Alphabet Inc <GOOGL.O>.   ,negative,negative
Rising prices and a lack of hit titles have added to problems for video game publishers Activision Blizzard Inc <ATVI.O> and Electronic Arts <EA.O> that are also battling supply-chain delays and a shift in consumer choices due to easing lockdowns.,negative,negative
"At 08:52 a.m. ET, Dow e-minis <1YMcv1> were down 62 points, or 0.18%, S&P 500 e-minis <EScv1> were down 2.25 points, or 0.05%, and Nasdaq 100 e-minis <NQcv1> were down 0.5 points, or flat.",negative,negative
"Some dire earnings are weighing the index down, namely UBS <UBSG.S>, falling 6% and Logitech <LOGN.S>, down 3.5%, after both posted results that missed the mark.",negative,negative
"Just 2.6 million square feet (241,548 square metres) of space was let in the third quarter, 30% down from the second quarter and 14% below the 10-year quarterly average, CBRE <CBRE.N> said.",negative,negative
"Work-from-home and event closures during the peak of the pandemic forced caterers to adapt their digital offerings, but Sodexo has also been hit by an earlier-than-expected termination of contracts with COVID-19 testing centres in the United Kingdom. [nL2N2VZ08M]",negative,negative
"Crowdstrike's shares sank nearly 19% in morning trading after the company forecast current-quarter revenue on Tuesday that fell short of analysts' estimates, while peers Zscaler Inc <ZS.O>, SentinelOne Inc <S.N> and Palo Alto Networks Inc <PANW.O> fell between 2% and 11%.",negative,negative
"According to preliminary data, the S&P 500 <.SPX> lost 28.89 points, or 0.75%, to end at 3,830.22 points, while the Nasdaq Composite <.IXIC> lost 229.67 points, or 2.05%, to 10,969.45. The Dow Jones Industrial Average <.DJI> rose 3.49 points, or 0.01%, to 31,840.23.",negative,negative
"Disney's streaming effort is still losing money, reporting a loss of $1.1 billion for the quarter. That put a drag on the media and entertainment unit, whose profit declined by 32% to nearly $1.4 billion.",negative,negative
"Deutsche, which had faced stinging criticism from some investors and politicians for its ongoing ties to Russia, announced late on Friday that it would wind down its business there. [nL2N2VH0B1]",negative,negative
"Meanwhile, Finnish telecom equipment maker Nokia <NOKIA.HE> and rival Ericsson <ERICb.ST> reported weaker-than-expected earnings, bruised by ongoing patent battles which pressured margins and offset strong demand for 5G equipment.",negative,negative
"Adbri <ABC.AX> fell 19% to top losses on the index, after the building materials maker said its chief executive officer Nick Miller will resign, and flagged continued earnings hit due to extreme rainfall and higher costs. ",negative,negative
"Shares of Goldman Sachs Group Inc <GS.N> dropped 4%, while other major Wall Street lenders fell over 3% each. Tesla Inc <TSLA.O> dropped 5.9% to lead losses among the mega-cap growth names.",negative,negative
"Among companies reporting results, Take-Two Interactive Software Inc <TTWO.O> plunged 16.6% premarket after the videogame publisher lowered its annual sales outlook, while ride-hailing firm Lyft Inc <LYFT.O> dropped 16.3% on forecasting current-quarter revenue below Wall Street estimates.",negative,negative
"The Dow Jones Industrial Average <.DJI> fell 107.1 points, or 0.35%, to 30,076.68, the S&P 500 <.SPX> lost 31.94 points, or 0.84%, to 3,757.99 and the Nasdaq Composite <.IXIC> dropped 153.39 points, or 1.37%, to 11,066.81.",negative,negative
- A Texas jury on Tuesday found Charter Communications Inc <CHTR.O> liable for $7 billion in punitive damages after finding the cable company responsible for one of its employees who robbed and killed a customer three years ago. ,negative,negative
"Meanwhile, earnings report from Facebook parent Meta Platforms Inc <META.O> on Wednesday and Samsung Electronics Co Ltd <005930.KS> spurred worries of a downturn after some of Europe's largest banks also warned of growing risks as the economy fizzles.",negative,negative
"The pain in the April-June quarter comes fresh after the closely watched Vision Fund posted a record $26 billion loss in May, hit by rising interest rates and political instability that disrupted global markets.",negative,negative
"In Qatar, the benchmark <.QSI> retreated 1.2%, ending 12 consecutive sessions of gains, weighed down by a 2.6% fall in Qatar Islamic Bank <QISB.QA>.",negative,negative
"Still, the news made investors anxious about other big banks due to report results next week with Morgan Stanley <MS.N> falling 2.6% and Goldman Sachs <GS.N> off 2.4%.",negative,negative
"Lyft forecast second-quarter revenue below Wall Street expectations and shares fell 26% in after-hours trade. Shares of rival Uber Technologies Inc <UBER.N>, which reports its own results on Wednesday, fell 11%.",negative,negative
"Nvidia is down 2.3% on Thursday, while AMD is losing almost 2%. The two companies are down 19% and 29%, respectively, year-to-date.",negative,negative
Jefferies cut its target prices for Sabadell and Bankinter respectively to 1 euro from 1.05 euros and to 5.7 euros from 6 euros.,negative,negative
"Snap's stock has lost about 77% of its value so far this year, while Alphabet, Meta and Pinterest have lost between 30% and 60%. Twitter, however, has gained 21% on the prospect of billionaire Musk buying the company.",negative,negative
"Shares in Harbour Energy <HBR.L>, the largest producer of UK oil & gas, are down 7.6% on Friday, while EnQuest <ENQ.L> shares are lower by 9.5%. ",negative,negative
"Walmart <WMT.N> shares sank 7.6% after the retailer cut its full-year profit forecast late on Monday. Walmart blamed surging prices for food and fuel, and said it needed to cut prices to pare inventories. [nL4N2Z63A4]",negative,negative
"In one example, Aptiv <APTV.N>, which supplies wire harnesses for Tesla, was not able to resume production in mid-April and there were concerns that this could have a knock-on effect on the automaker's production plans, according to a person familiar with the matter.",negative,negative
"Still, the news sent Brenntag��s shares down some 9% on Monday. A deal would be bigger than the bolt-on transactions expected by investors and may require some equity issuance. Any mega-deal looks risky on the eve of a downturn. And given the healthier U.S. market, there��s a risk Brenntag gets stuck in a bidding war �C or ends up overpaying. (By Neil Unmack) ",negative,negative
Ocado <OCDO.L> dropped 4.6% after the British online supermarket and technology group said it would boost its liquidity by over $1 billion to fund its growth. [nL8N2Y7481],negative,negative
"In terms of single stocks, Dutch medical equipment maker Philips <PHG.AS> is the worse performer, down more than 10% after reporting a worse-than-expected drop in second-quarter core earnings, citing supply shortages and lockdowns in China. [nL1N2Z5097]",negative,negative
"Rival Activision Blizzard Inc <ATVI.O> also missed market estimates for sales last week, while Electronic Arts Inc <EA.O> lowered its annual sales projection as fewer gamers picked up its new titles. [nL4N2UE32C] [nL4N2UC2XB]",negative,negative
"San Francisco accused Walgreens, Teva, Allergan, and Anda of creating a ""public nuisance"" by flooding the city with prescription opioids and failing to prevent the drugs from being diverted for illegal use. ",negative,negative
"""We see recession in Europe as likely even absent big rate hikes as broad economic stress from an energy crisis bite...The European Central Bank and markets underappreciate the risk of the energy crunch causing a recession, and the ECB will eventually accept this and rethink its rate path,"" wrote strategists at BlackRock in a note.",negative,negative
"Last week, the Nasdaq Composite <.IXIC> flirted with its bear-market lows. In fact, on Thursday, it ended down 35.6% from its Nov. 19, 2021 record finish. ",negative,negative
"Worries over the global economy deepened after chipmakers Samsung <005930.KS> and AMD <AMD.O> flagged a slump in demand, blaming inflation, higher interest rates and the impact of Russia's invasion of Ukraine. European chipmakers Infineon, STMicroelectronics and ASML fell in tandem.",negative,negative
The news knocked down the stock of telehealth leader Teladoc Health Inc <TDOC.N> by 8% in morning trading. Shares of drugstore retailers CVS Health <CVS.N> and Walgreens Boots Alliance <WBA.O> fell over 2%.,negative,negative
"Double digit share drop for Nordic Semi <NOD.OL> after its Q3 update, while Boliden <BOL.ST>, Allfunds <ALLFG.AS> and Nokia <NOKIA.HE> are all falling over 5% post-results.    ",negative,negative
TripAdvisor Inc <TRIP.O> lost 2.50% after the hotel search website operator posted a surprise fourth-quarter loss. Albemarle Corp <ALB.N> plunged 19.91% as the lithium producer forecast downbeat annual earnings. [nL4N2UR440],negative,negative
"Shares of chemical companies have suffered some of the biggest declines since the invasion, since natural gas plays a key role in their manufacturing process. Car parts makers have also been hit hard, partly because Russia was a major market for  firms such as VW and Mercedes and partly because Ukraine and Russia have also been suppliers.",negative,negative
"Among the mega-caps, Apple Inc <AAPL.O>, Microsoft Corp <MSFT.O> and Tesla Inc <TSLA.O> were some of the biggest losers as investors dumped so-called growth stocks that drove much of the stock-market rally in the past two years.",negative,negative
"Apple <AAPL.O>, whose shares fell about 22% in the second quarter, is due to report results July 28, while results for Alphabet <GOOGL.O>, whose shares also dropped 22% last quarter, are expected July 26.",negative,negative
"By 1340 GMT on Thursday, the two-day rout had wiped as much as $46 billion off the market values of GSK, Haleon and Sanofi combined.    ",negative,negative
"A first batch of earnings results has not helped much either. Amongst London blue chips, Admiral <ADML.L> is the top faller, down 8.1% after smaller peer insurer Sabre <SBRE.L> profit warning. Sabre shares are down 36%.",negative,negative
Citigroup <C.N> also slid after the the bank reported a 26% drop in quarterly profit. But the company exceeded market expectations as strong gains in its investment banking business cushioned the blow from higher expenses. [nL4N2TU38G],negative,negative
"Okta has been criticized for its reaction to the hack, especially as it emerged that the company either had known - or could have known - that there was a problem much earlier.",negative,negative
"Investors rushed to dump Meta Platforms Inc's stock after hours, pushing it down 20% and wiping $67 billion off its market value after the company posted its fourth straight decline in quarterly profit.",negative,negative
"Communication services <.SPLRCL>, info tech <.SPLRCT> and consumer discretionary <.SPLRCD> are taking the biggest hits among S&P 500 sectors. Healthcare <.SPXHC> is the leading gainer.",negative,negative
"The departures have hit oil service providers and contractors the hardest, said the Venezuelan Petroleum Chamber, whose members fell to 300 from 500 in the last four years.",negative,negative
U.S.-listed shares of China's e-commerce giant Alibaba Group Holding Ltd <BABA.N> and internet firm Baidu Inc <BIDU.O> declined more than 1% each in trading before the bell.,negative,negative
His exit comes as Facebook faces a host of regulatory challenges in the country where Prime Minister Narendra Modi's administration has been tightening laws governing Big Tech companies. ,negative,negative
"""This only encourages the striking workers, who are more united than ever"", a CGT official at TotalEnergies' Feyzin refinery said of the company's conditional offer.",negative,negative
"CME e-mini Nasdaq 100 futures <NQcv1> are off around 2% in premarket trade Wednesday, after disappointing results from technology-giant Microsoft, as well as Alphabet, sparked losses in other mega-cap companies and raised fears of slowing economic growth. [.N]",negative,negative
"China stocks <.SSEC> <.CSI300> shed 0.6% each, while Hong Kong shares <.HSI> fell 2.5%. The MSCI's index for developing world currencies <.MIEM00000CUS> edged 0.1% higher. ",negative,negative
U.S. retailer Walmart Inc <WMT.N> cut its profit forecast on Monday and said customers were paring back discretionary purchases as inflation bites household budgets. Shares fell 10% after hours and rivals Target <TGT.N> and Amazon <AMZN.O> also slid. [nL4N2Z63A4],negative,negative
"Shares of Moderna fell nearly 2% before the bell over the delay, even though the company stuck to its vaccine sales forecast of $21 billion for 2022.  ",negative,negative
"Nigeria had alleged JPMorgan was ""grossly negligent"" in its transfer of funds paid by the energy majors to a company linked to the country's disgraced former oil minister Dan Etete, as per instructions received from Nigerian government officials.",negative,negative
"Nearly all major S&P 500 sectors are red, with materials <.SPLRCM> and communications services <.SPLRCL> taking the biggest hits. Staples <.SPLRCS> and healthcare <.SPXHC> are posting small gains.",negative,negative
"Estee Lauder Cos Inc <EL.N> slipped 1.2% as it forecast full-year sales and profit below estimates, due to a hit from pandemic-related lockdowns in China. [nL4N2ZU23O]   (Reporting by Bansari Mayur Kamdar and Devik Jain in Bengaluru; Editing by Shounak Dasgupta)  ((BansariMayur.Kamdar@thomsonreuters.com))",negative,negative
"Musk said last month that Tesla's new factories in Texas and Berlin are ""losing billions of dollars"" as they struggle to increase production because of a shortage of batteries and Chinese port issues. [nL1N2Y92YN]",negative,negative
"Six of the 11 major S&P 500 sectors were higher, with gainers led by communication services <.SPLRCL>, while Materials <.SPLRCM> and consumer discretionary <.SPNY> were the biggest decliners. Growth <.IVG> and value <.IVX> indexes were both choppy, while small caps <.RUT> and Dow Transports <.DJT> were lower and semiconductors <.SOX> underperformed.  ",negative,negative
"In Asia, equities were mostly steady in holiday-thinned trade, with both China and Japan markets shut, but in Hong Kong, Alibaba <9988.HK> shares fell as much as 9% on worries over the status of its billionaire founder Jack Ma.",negative,negative
"Shares in RWE <RWEG.DE>, Germany's largest power producer and one of the companies potentially affected, were 1.5% lower following the news.",negative,negative
"Shares of Germany's biggest importer of Russian gas Uniper <UN01.DE> dropped 11%, while its Finnish parent Fortum <FORTUM.HE> dipped 8.9% and utility PNE <PNEGn.DE> slipped 4.1%. [nL8N30C11S]",negative,negative
AMC Entertainment Holdings Inc <AMC.N> tumbled 39% after the cinema chain's preferred stock listing started trading and its UK-based rival Cineworld Group <CINE.L> warned of a possible bankruptcy filing. [nL4N2ZY27M],negative,negative
"CarMax Inc <KMX.N> slumped 23.72% after the used-car retailer missed expectations for second-quarter results, hurt by consumers cutting spending amid inflation, rising interest rates and higher car prices.",negative,negative
JPMorgan shares were down 2.8% in afternoon trading. Other bank stocks also fell. Citigroup and Bank of America were both down 0.9%.  ,negative,negative
"The Dow Jones Industrial Average <.DJI> fell 50.35 points, or 0.15%, to 33,799.11, the S&P 500 <.SPX> lost 12.5 points, or 0.32%, to 3,951.44 and the Nasdaq Composite <.IXIC> dropped 79.10 points, or 0.72%, to 10,970.40.",negative,negative
Wall Street's main indexes are lower Thursday after gloomy forecasts from Meta and Qualcomm and an early GDP reading that showed the U.S. economy contracted again in the second quarter. [.N],negative,negative
The standoff between U.S. railroad operators and their union workers disrupted flows of hazardous materials such as chemicals used in fertilizer and disrupted U.S. passenger railroad Amtrak service in September as railroads prepared for a possible work stoppage. ,negative,negative
"A Moscow court labeled Meta Platforms Inc <FB.O> an ""extremist organisation,"" upholding a decision to ban Facebook in Russia. Meta's shares dropped 2.3%.",negative,negative
Germany-based footwear maker Adidas AG <ADSGn.DE> cut its earnings target for the year due to a slow recovery for its business in China. [nASM000KRE],negative,negative
"British commercial property firm Land Securities <LAND.L> slumped to a half-year loss, as property valuations fell due to surging interest rates and inflation, while Vodafone <VOD.L> cut its full-year free cash flow forecast and said earnings would come in towards the bottom of its range.",negative,negative
Verizon shares fell as much as 6% to nearly five-year low of $44.64. They closed down about 3% lower in the prior session when rival AT&T <T.N> warned some of its customers were delaying bill payments. AT&T shares were trading nearly 2% lower. ,negative,negative
"At 10:01 a.m. ET, the Dow Jones Industrial Average <.DJI> was up 124.32 points, or 0.39%, at 31,961.06, the S&P 500 <.SPX> was down 13.71 points, or 0.36%, at 3,845.40, and the Nasdaq Composite <.IXIC> was down 149.98 points, or 1.34%, at 11,049.14.",negative,negative
"The DXY has fallen as much as 7% over the past 8 weeks to the 106.50 area, while the disparity has contracted to about 1.1x the 200-WMA.",negative,negative
"After channelling some 120 billion pounds in profit to the Treasury over 13 years, the Bank of England last month incurred its first loss for the public finance since it launched its QE programme in 2009 - a 156 million pound monthly loss from its bond portfolio versus interest paid on reserves. ",negative,negative
" The headwinds facing Netflix pummeled other video streaming-related stocks, with Roku <ROKU.O> dropping over 6%, Walt Disney <DIS.N> falling 5% and Warner Bros Discovery <WBD.O> down 3.5%.",negative,negative
"JPMorgan Chase & Co <JPM.N> tumbled 5.3% on reporting weaker performance at its trading arm, even as it beat earnings expectations for the fourth quarter.",negative,negative
"But the Abu Dhabi index <.FTFADGI> closed 0.7% lower, hit by a 2% slump in the country's largest lender First Abu Dhabi Bank <FAB.AD> and a 0.2% drop in conglomerate International Holding Company <IHC.AD>.",negative,negative
"Wednesday's sell-off saw the S&P 500 <.SPX> close down 4% on the day, 17.7% for the year-to-date and down 18.2% from its Jan. 3 record close. [.N] ",negative,negative
"In commodities, Brent crude oil futures <LCOc1> fell 0.63% to $98.97 a barrel. US West Texas Intermediate crude <CLc1> was also down, dropping 0.69% to $93.69.",negative,negative
"Once with $36 billion in assets, Archegos collapsed in March 2021 when it was caught short after making huge bets on stocks through securities known as total return swaps. That sparked a fire sale in stocks, resulting in large losses for Credit Suisse Group AG <CSGN.S>, Nomura Holdings Inc <8604.T> and other banks. ",negative,negative
"The top 10 holdings of the fund, including Roku Inc <ROKU.O> and Coinbase <COIN.O>, are down in the range of 50% to 76% in the past 12 months, with the exception of Tesla, which has risen 25% over the past year.",negative,negative
"European tech index <.SX8P> slipped 0.8%, while New York-listed shares of Chinese firms Alibaba <BABA.N>, JD.com <JD.O> and Pinduoduo <PDD.O> fell nearly 1.5% each.",negative,negative
"About 1,000 shop assistants who work at Zara and other fashion brands owned by Inditex <ITX.MC> went on strike in the retailer's home town in northern Spain to demand better salaries.",negative,negative
"Lufthansa declined to comment on the letter, though its chief executive apologised to employees and customers in late June, saying the airline ""did go too far in cutting costs here and there.""    ** SAS AB <SAS.ST>",negative,negative
"The probe had prompted the largest solar trade group to cut its installation forecasts for this year and next by 46% as developers including NextEra Energy Inc <NEE.N>, Southern Co <SO.N> warned of major project delays [nL2N2WQ31O].",negative,negative
"The warning hit shares of other delivery companies as well as retailers in extended trading. United Parcel Service <UPS.N> dropped 5%, while Amazon <AMZN.O> dropped 1.6 and Target <TGT.N> dipped nearly 1%.",negative,negative
Shares of Lululemon rose about 2% in extended trading after the company also forecast current-quarter revenue and profit above estimates and posted better-than-expected first-quarter earnings results.,positive,positive
"Wells Fargo <WFC.N>, Bank of America <BAC.N> and Citigroup <C.N> advanced more than 1% each premarket, leading gains among big banks. ",positive,positive
"    JPMorgan Chase & Co <JPM.N> Citigroup Inc <C.N>, and Wells Fargo & Co <WFC.N> also saw their net interest income rise in the same period.    ",positive,positive
Upbeat remarks by Chinese regulators about policy support and rising expectations among investors about easing of strict COVID-19 measures boosted sentiment in Asia. Chinese bluechips <.CSI300> and Hong Kong stocks <.HSI> gained 1.2% and 2.4% respectively.,positive,positive
"Rivian Automotive Inc <RIVN.O> surged after the electric-vehicle maker reported a smaller-than-expected loss, higher number of pre-orders and reaffirmed its full-year production outlook.",positive,positive
"Amazon agreed to pay $18 for each share of One Medical, representing a premium of 76.8% to the healthcare firm's last close. One Medical shares were trading at $17.27.",positive,positive
